,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
290,Dhanvantari Hospital,Sakinaka Andheri,Mumbai,Mumbai,Maharashtra,Dhanlaxmi Building Mojili Village Ghatkopar Andheri Link Road Sakinaka,022,25157570,Empanelled,NON PPN,Mumbai
291,Dhanwantary Hospital & Iccu,Mulund (W),Mumbai,Mumbai,Maharashtra,"545, Netaji Subhash Rd Mulund (W)",022,25616070,Empanelled,IN PPN,Mumbai
292,Diamond Hospital,Jogeshwari(W),Mumbai,Mumbai,Maharashtra,"105,First Floor ,Markaz view Bldg,Opposite Excel Industries ,S.V Road,Opp Karat Theatre,Jogeshwari(W)",022,26774005,Empanelled,NON PPN,Mumbai
293,Dna Multispeciality Hospital,Kandivali (e),Mumbai,Mumbai,Maharashtra,Whispering palms shopping center lokhandwals township next to lokhandwala sales office akurli road,022,29653388,Empanelled,IN PPN,Mumbai
294,Doctor Eye Institute Pvt Ltd,S V Road,Mumbai,Mumbai,Maharashtra,"Spenta Mansion, S V Road, Opp Railway Station, Andheri (W)",022,26284103,Empanelled,NON PPN,Mumbai
295,Doshi Maternity & Nursing Home,Borivali (W),Mumbai,Mumbai,Maharashtra,"B-3, Manek Nagar, Punjabi Lane, Borivali (W)",022,28905678,Empanelled,NON PPN,Mumbai
296,Doshi Nursing Home & Icu,Imli bazar,Mumbai,Mumbai,Maharashtra,"Amrut Kunj, Anjaria Wadi, M.G. Road, Ghatkopar (E) Imli bazar",022,25139440,Empanelled,NON PPN,Mumbai
297,Dr Balabhai Nanavati Hospital,Ville Parle(w),Mumbai,Mumbai,Maharashtra,S V Road Ville Parle (W),022,26182255,Empanelled,IN PPN,Mumbai
298,Dr Baliga Nursing Home,Goregaon (W),Mumbai,Mumbai,Maharashtra,"Paras, S V Road, Goregaon (W)",022,28722202,Empanelled,NON PPN,Mumbai
299,Dr Bhatias Ruby Hospital,Bhandup (W),Mumbai,Mumbai,Maharashtra,"1st Floor, Arunoday Tower, Kokannagar",022,25949080,Empanelled,NON PPN,Mumbai
300,Dr Bothras Hospital,Bhandup (W),Mumbai,Mumbai,Maharashtra,"Ramkrishna Apartments, Gadhav Naka, Bhandup (W)",022,25956516,Empanelled,IN PPN,Mumbai
301,Dr Dipak Desais Ent Hospital,Ghatkopar,Mumbai,Mumbai,Maharashtra,206 Gayatri Dham M G Road Ghatkopar (E),022,25011914,Empanelled,IN PPN,Mumbai
302,Dr Gala Nursing Home,Grant Road (W),Mumbai,Mumbai,Maharashtra,"Kennedy Bridge, Nana Chowk, Grant Road (W)",022,23823435,Empanelled,NON PPN,Mumbai
303,Dr Hiren Mehta Eye Care Center,Ghatkopar (E),Mumbai,Mumbai,Maharashtra,"18-A, Happy Home, C H Society, 1st Floor, Opp Guru",022,25156080,Empanelled,NON PPN,Mumbai
304,Dr Kamdars Nursing Home,Santacruz (W),Mumbai,Mumbai,Maharashtra,"Rizvi Nagar Junction of S V Road, Milan Subway Santacruz W",022,26126699,Empanelled,IN PPN,Mumbai
305,Dr Kulkarni Hospital,Jogeshwari(E),Mumbai,Mumbai,Maharashtra,"1st Floor, Near State Bank of India, Kesar Plaza, Caves Road,  Station Road, Jogeshwari (E)",022,28393738,Empanelled,IN PPN,Mumbai
306,Dr L H Hiranandani Hospital,Powai,Mumbai,Mumbai,Maharashtra,"Hillside Avenue, Hiranandani Garden, Powai",022,25763319,Empanelled,IN PPN,Mumbai
307,Dr Malwankars Romeen Nursing Home,Bhandup (W),Mumbai,Mumbai,Maharashtra,"Gr. Floor, Goutam Dham, Gaodevi road, Bhandup (W)",022,25942020,Empanelled,IN PPN,Mumbai
308,Dr Mukhis Raj Hospital,Mulund (W),Mumbai,Mumbai,Maharashtra,"DEVIDAYAL ROAD ,OPP HDFC BANK,MULUND (WEST) MUMBAI",022,25658843,Empanelled,IN PPN,Mumbai
309,Dr Patani Eye Clinic,Bhandup (W),Mumbai,Mumbai,Maharashtra,"210, RR Realty, Tank Road",022,32508622,Empanelled,NON PPN,Mumbai
310,Dr Pattnaik Hospital,Bandra (W),Mumbai,Mumbai,Maharashtra,"Kakad Apts, 4 Pali Road, bandra (W), Mumbai",022,26515381,Empanelled,NON PPN,Mumbai
311,Dr Rane Hospital (p) Ltd,Chembur,Mumbai,Mumbai,Maharashtra,"37, Dhan Laxmi Appt. Road No. 2, Pestom sagar Road, Chembur",022,25258440,Empanelled,IN PPN,Mumbai
312,Dr Sabnis Maternity & Nursing Home,Mulund (E),Mumbai,Mumbai,Maharashtra,"Saurabh, Gr Floor V B Phadke Road, Gavanpada Mulun",022,25615173,Empanelled,NON PPN,Mumbai
313,Dr Savla Polyclinics & Nursing Home,Ghatkopar (W),Mumbai,Mumbai,Maharashtra,"6/7, Dharmodaya, Jeevdaya Lane, Ghatkopar (W)",022,25131771,Empanelled,NON PPN,Mumbai
314,Dr Shetty Ent Hosptial,Mulund (W),Mumbai,Mumbai,Maharashtra,"9, Lavkush, Above Hotel Kriti Mahal, M.G. Road, Panch Rasta, Mulund (W)",022,25909844,Empanelled,IN PPN,Mumbai
315,Dr Shetty Nursing Home,Bandra (W),Mumbai,Mumbai,Maharashtra,"Hill-N-Dale, 2nd Floor, Hill Road, Nr Bandra Polic",022,26405487,Empanelled,NON PPN,MUMBAI
316,Dr Simandhar Eye Care Centre,Mulund (W),Mumbai,Mumbai,Maharashtra,"A/203 Hetitage Holy, J N Road, Ambika Nagar, Next to Apna Bazar",022,56433601,Empanelled,NON PPN,Mumbai
317,Dr Sonagra Medical & Surgical Centre,Ghatkopar,Mumbai,Mumbai,Maharashtra,"Shiv plaza, Opp telephone exchange, LBS road",022,40734800,Empanelled,IN PPN,Mumbai
318,Dr Vaze Hospital,Shivaji Park,Mumbai,Mumbai,Maharashtra,"Meghdoot, S H Paralkar Marg, Shivaji Park",022,24451698,Empanelled,NON PPN,MUMBAI
319,Dr Vora Premature Critical Care & General Hospital,Kandivli (W),Mumbai,Mumbai,Maharashtra,"2-4/A. Kokil Kunj, Behind Patel Nagar, M G X Road",022,28665475,Empanelled,NON PPN,MUMBAI
320,Dr Zikrullah Khan Habib Hospital Pvt Ltd,Kurla(W),mumbai,Mumbai,Maharashtra,Plot 345/1 238 A H Wadia Marg Old AGra Road Opp Shalimar Hotel Opp LBS Road Kurla(W),022,25031000,Empanelled,NON PPN,Mumbai
321,E N T Clinic and Deafness Centre,Andheri (E),Mumbai,Mumbai,Maharashtra,16 Nityanand Nagar II 1st Floor Near Fly Over Brid,022,26835205,Empanelled,NON PPN,Mumbai
322,Ear Nose & Throat Hospital,Ghatkoper (E),Mumbai,Mumbai,Maharashtra,"206, Gayatri Dham, M G Road, Derasar Lane, Ghatkop",022,25011914,Empanelled,NON PPN,Mumbai
323,Excel Urology Centre,Chembur,Mumbai,Mumbai,Maharashtra,"Dr C G Road, Chembur",022,25208020,Empanelled,NON PPN,MUMBAI
324,Eye Essential Hospital,Ghatkopar(e),Mumbai,Mumbai,Maharashtra,"3, milan 169 Garodia 90- feet road opp. Lavender bough ghatkopar east Mumbai",022,25067733,Empanelled,IN PPN,Mumbai
325,Fauziya Hospital,Kurla (W),Mumbai,Mumbai,Maharashtra,"209, Solanki Apts, L.B.S. Marg Kurla (West)",022,25034057,Empanelled,NON PPN,Mumbai
326,Fortis Hospitals Ltd Mulund,Mulund Goregaon Link Rd,Mumbai,Mumbai,Maharashtra,"Sector-44, Mulund Goregaon Link Rd,",022,67994134,Empanelled,IN PPN,Mumbai
327,Furia Eye Clinic,Ghatkopar (W),Mumbai,Mumbai,Maharashtra,"B - Wing 301 & 302, L. B. S. Marg, Near Shreya`s C",022,25006600,Empanelled,NON PPN,MUMBAI
328,Gandhi Nursing Home,Andheri (W),Mumbai,Mumbai,Maharashtra,"105/106, Garden View, Shastri Nagar, Off J P Road,",022,26365966,Empanelled,NON PPN,Mumbai
329,Gautam Hospital,Ambernath (E),Mumbai,Mumbai,Maharashtra,"491, Sai Section, Ambernath (E)",0251,2602173,Empanelled,NON PPN,MUMBAI
330,Global 5 Health Care,Kopar khairane,Mumbai,Mumbai,Maharashtra,"Aditi Apt, F-Type, D-2,Sector-9,main Road  Vashi New Mumbai",022,27655110,Empanelled,NON PPN,Mumbai
331,Global Hospital Super Speciality & Transplant Centre ( A Unit Of Centre For Digestive & Kidny Diseases (india) Pvt Ltd),Parel,Mumbai,Mumbai,Maharashtra,35 35 Dr E Borges Road Opp Shirodkar Higschool Parel,022,67670101,Empanelled,IN PPN,Mumbai
332,Godrej Memorial Hospital,Vikhroli (W),Mumbai,Mumbai,Maharashtra,"Firozshah Nagar,opp godrej enclave tower",022,66417050,Empanelled,IN PPN,Mumbai
333,Gokul Nursing Home & Iccu,Mulund (W),Mumbai,Mumbai,Maharashtra,"1st Floor Munshi Estate, M G Road Mulund (W)",022,25655992,Empanelled,NON PPN,Mumbai
334,Gomathi Eye Centre,Mulund(E),Mumbai,Mumbai,Maharashtra,"101, Maa Durgamata Bldg, Hanuman Chowk, Navghar Ro",022,22591481,Empanelled,NON PPN,Mumbai
335,Guru Nanak Hospital,Bandra (E),Mumbai,Mumbai,Maharashtra,"S-341, Gandhinagar Bandra (E), Mumbai",022,26592853,Empanelled,NON PPN,Mumbai
336,H J Doshi Ghatkopar Hindu Sabha Hospital,Ghatkopar,Mumbai,Mumbai,Maharashtra,Shradhanand Road Opp Railway Station Ghatkopar (W) 86,022,25094451,Empanelled,IN PPN,Mumbai
337,Hinduja Healthcare Limited,Khar (W),Mumbai,Mumbai,Maharashtra,Plot No 724 Off P D Hinduja Marg 11th Road Near Khar Telephon Exchange,022,26469999,Empanelled,NON PPN,Mumbai
338,Hira Mongi Navneet Hospital,Mulund(W),Mumbai,Mumbai,Maharashtra,Valji Ladha Road Mulund(W),022,25915577,Empanelled,IN PPN,Mumbai
339,Holy Family Hospital,Bandra (w),Mumbai,Mumbai,Maharashtra,"St Andrews Road,off hill Road,Bandra (w)",022,30610386,Empanelled,NON PPN,Mumbai
340,Holy Spirit Hospital,Andheri East,Mumbai,Mumbai,Maharashtra,Mahakali Caves Road Andheri East,022,28248500,Empanelled,NON PPN,Mumbai
341,Holy Trinity Hospital,Mulund (W),Mumbai,Mumbai,Maharashtra,"1st Floor, Heritage Holy, J N Road, Near Apna Baza",022,25641155,Empanelled,NON PPN,MUMBAI
342,Inlaks General Hospital,Chembur,Mumbai,Mumbai,Maharashtra,"Inlaks Hospital Rd,",022,61500300,Empanelled,IN PPN,Mumbai
343,Ishita Nursing Home,Malad (W),Mumbai,Mumbai,Maharashtra,"B-103/104, Hetal Arch, Opp. Natraj Market, Off S V",022,28826844,Empanelled,NON PPN,MUMBAI
344,Jain Eye Clinic,Ghatkopar (E),Mumbai,Mumbai,Maharashtra,301 Sapphire Arcade Above Sejal Jewellers,022,25091222,Empanelled,NON PPN,Mumbai
345,Jaslok Hospital And Research Centre,Peddar Rd,Mumbai,Mumbai,Maharashtra,15 G Deshmukh Marg Peddar Road,022,66573333,Empanelled,IN PPN,Mumbai
346,Jay Polyclinic Maternity & Nursing Home,Malad (W),Mumbai,Mumbai,Maharashtra,"Amarshi Road, Malad (W)",022,28820757,Empanelled,IN PPN,Mumbai
347,Jeevan Jyot Hospital,Ghatkopar,Mumbai,Mumbai,Maharashtra,"Opp. Ghatkopar Railway Station, Ghatkopar",022,25144445,Empanelled,NON PPN,Mumbai
348,Jewel Hospital,Juhu,Mumbai,Mumbai,Maharashtra,"89, N S Rd No. 1, JVPD Scheme, Juhu",022,26201351,Empanelled,NON PPN,MUMBAI
349,Joy Hospital Pvt Ltd,Chembur,Mumbai,Mumbai,Maharashtra,"423, AB - 10th Road, Chembur",022,25223939,Empanelled,IN PPN,Mumbai
350,K L S Memorial Hospital,Vile Parle (W),Mumbai,Mumbai,Maharashtra,"IRLA lane, Off S V Road, Vile Parle (W), Mumbai",022,61713939,Empanelled,NON PPN,Mumbai
351,Kapadia Multispeciality Hospital,Goregaon (W),Mumbai,Mumbai,Maharashtra,"M G Road, Opp. Raga Restaurant, Goregaon (W)",022,28797400,Empanelled,NON PPN,Mumbai
352,Kataria Eye Clinic,Colaba Causeway,Mumbai,Mumbai,Maharashtra,"102/103, Kartar Bhawan, Above Central Bank of India",022,22823083,Empanelled,IN PPN,Mumbai
353,Kedar Nursing Home,Kandivali (E),Mumbai,Mumbai,Maharashtra,"B/101, Gokul Monarch, Thakur Complex, Kandivali (E",022,28545198,Empanelled,NON PPN,Mumbai
354,Kedia Nursing Home,Ghatkopar (W),Mumbai,Mumbai,Maharashtra,"2A/2B, Dharmodaya Bldg, Jivdaya Lane, Ghatkopar (W)",022,25139645,Empanelled,NON PPN,Mumbai
355,Khandwalas Eye Hospital & Hem Polyclinic,Vile Parle(W),Mumbai,Mumbai,Maharashtra,"D-31, Navmangal CHS Ltd, 1st Floor, Above Venilal Saree Shop, Next to Golden Tabacoo Factor, S V Road",022,26246672,Empanelled,NON PPN,Mumbai
356,Khushal Hospital & Maternity Home,Ghatkopar(E),Mumbai,Mumbai,Maharashtra,"102/103, Karmavihar Bldg, Station Road",022,25112680,Empanelled,NON PPN,Mumbai
357,Kini Nursing Home,Borivli (W),Mumbai,Mumbai,Maharashtra,"Shashitara Apts, Behind Punjab National Bank, Mand",022,28931919,Empanelled,NON PPN,MUMBAI
358,Kirit Nursing Home,Vile Parle (E),Mumbai,Mumbai,Maharashtra,Pushpa Apartment Subhash Road,022,26826260,Empanelled,NON PPN,Mumbai
359,Kohinoor Hospitals Private Limited,Kurla(W),mumbai,Mumbai,Maharashtra,"Kohinoor City kirol road of LBS marg  ,Kurla(W)",022,67556726,Empanelled,IN PPN,Mumbai
360,Kokilaben Dhirubhai Ambani Hospital,Andheri(W),Mumbai,Mumbai,Maharashtra,"Four Bunglows, Lokhandwala",022,30666666,Empanelled,IN PPN,Mumbai
361,Kolekar Nursing Home,Ghatla Chembur,Mumbai,Mumbai,Maharashtra,N.G Acharya Marg Mukti Nagar Ghatla Chembur,022,25201294,Empanelled,NON PPN,Mumbai
362,Krishna Cardiac Care Centre,Dadar,Mumbai,Mumbai,Maharashtra,"166-C, Krishna Kunj Khareghat Road, Hindu Colony,",022,24140837,Empanelled,NON PPN,MUMBAI
363,Krishna Eye Care Centre,Malad (E),Mumbai,Mumbai,Maharashtra,"1st Floor, Ganga Jamuna Building, 16 Rani Sati Mar",022,28721876,Empanelled,NON PPN,Mumbai
364,Krishna Eye Centre,Sion (E),Mumbai,Mumbai,Maharashtra,"102, Maryland Corner, Plot No 39, Opp Sion Bus depot",022,24071118,Empanelled,NON PPN,Mumbai
365,Krishna Nursing Home,Bhandup (W),Mumbai,Mumbai,Maharashtra,"Neha Apts., LBS Marg, Bhandup (W)",022,25951707,Empanelled,NON PPN,Mumbai
366,Lakshmi Nursing Home,Mulund (W),Mumbai,Mumbai,Maharashtra,"Sheetal Chhaya Premises Co-op Society, Jawaharlal",022,25649556,Empanelled,NON PPN,MUMBAI
367,Laparoscopy & Scopy Centre,Chembur,Mumbai,Mumbai,Maharashtra,B-1 Jagdish Plot No 185 15th Rd,022,25282275,Empanelled,NON PPN,MUMBAI
368,Laxmi Health Care Centre & Iccu,Vikhroli (E),Mumbai,Mumbai,Maharashtra,"210/3042, Near Sangali Sahakari Bank, Tagor Nagar No 1",022,25748841,Empanelled,IN PPN,Mumbai
369,Lilavati Hospital & Research Centre,Bandra Reclamation,Mumbai,Mumbai,Maharashtra,"A - 791, Bandra Reclamation, Bandra (W)",022,26751000,Empanelled,NON PPN,Mumbai
370,Lux Hospital,Ghatkopar(E),Mumbai,Mumbai,Maharashtra,"Vishal Tower 301, 60ft Road, Corner of R.B. Mehta Marg, Hingwala Lane",022,25013875,Empanelled,NON PPN,Mumbai
371,Maa Nursing Home And Netrajyoti Eyecare Centre,malad(w),Mumbai,Mumbai,Maharashtra,"Himachal Bldg,Opp.Sunder Nagar,S.V.Road,malad(w)",022,28752102,Empanelled,IN PPN,Mumbai
372,Madhu Polyclinic & Nursing Home,Bhandup (W),Mumbai,Mumbai,Maharashtra,Mini Apts Opp Sarvodaya Nagar J M Road,022,25959802,Empanelled,IN PPN,Mumbai
373,Mahatme Health & Hapiness Hospital,Mulund (E),Mumbai,Mumbai,Maharashtra,"Soukhya Jai Ramkrishna C H S Nr VPM School, Deshmukhwadi, Mithagar Road, Mulund (E)",022,25657090,Empanelled,NON PPN,Mumbai
374,Mahek Nursing Home,Bhandup (W),Mumbai,Mumbai,Maharashtra,"Chetna Apartment S P S Marg, Bhandup (W)",022,25965642,Empanelled,NON PPN,Mumbai
375,Mallika Hospital,Jogeswari (W),Mumbai,Mumbai,Maharashtra,"Sharma Estate S.V. Road, Jogeshwari (W)",022,26797171,Empanelled,IN PPN,Mumbai
376,Malpani Eye Hospital & Laser Centre,Santacruz (W),Mumbai,Mumbai,Maharashtra,"G-6  Khiranagar Chirag Society S V Road,Santacruz (W)",022,26616766,Empanelled,NON PPN,Mumbai
377,Mamta Maternity & Nursing Home,Ghatkopar,Mumbai,Mumbai,Maharashtra,"Garodia Nagar, Ghatkopar",022,25068941,Empanelled,NON PPN,MUMBAI
378,Mangala Hospital,Andheri (E),Mumbai,Mumbai,Maharashtra,"Bamandaya Pada , Marol Military Road   ,Near Customs Colony,opposite Bharat Van Joggers Park",022,26845076,Empanelled,NON PPN,Mumbai
379,Masrani Hospital For Woman & Mimas,Andheri (W),Mumbai,Mumbai,Maharashtra,"Matru Ashish, Nera Hotal, Residency Lallubhai Park",022,26237089,Empanelled,NON PPN,Mumbai
380,Matushree Maternity Surgical & General Nursing Home,Kandivli(W),Mumbai,Mumbai,Maharashtra,"101-104, Plot 239, Kesar Plaza CHS, A wing, Charkop Market",022,28696712,Empanelled,NON PPN,Mumbai
381,Medicare Hospital,Andheri (E),Mumbai,Mumbai,Maharashtra,Marol Naka A K Road Opp Fire Brigade Beside Pertol Pump,022,28310132,Empanelled,NON PPN,Mumbai
382,Megha Surgical Hospital,Malad(E),Mumbai,Mumbai,Maharashtra,"Ashmi Apartment,Bachani Nagar Road, Opp:Childrens",022,28835352,Empanelled,NON PPN,MUMBAI
383,Meher Ambe Hospital,Opp Rationing office,Mumbai,Mumbai,Maharashtra,Rajsneha Bldg S N Road,022,25600635,Empanelled,NON PPN,Mumbai
384,Modi General Hospital & Icu,Vikhroli (E),Mumbai,Mumbai,Maharashtra,"237/3258, Opposite municipal market, Tagore nagar, Vikhroli (E)",022,25745666,Empanelled,IN PPN,Mumbai
385,Mukund Maternity & Surgical Nursing Home,Andheri(E),Mumbai,Mumbai,Maharashtra,"Mukund Nagar CHS, Marol, Andheri-Kurla Road, Andheri",022,61116888,Empanelled,IN PPN,Mumbai
386,Mulund Nursing Home,Mulund(E),Mumbai,Mumbai,Maharashtra,"ShantiSadan, G.V. Scheme Road No-2,90 Feet Road, M",022,21631411,Empanelled,NON PPN,Mumbai
387,Namita Polyclinic And Hospital,Dahisar(E),Mumbai,Mumbai,Maharashtra,"Ganga Shalimar building,Navyug nagar,S.V.Road,Dahisar(E),",022,28934420,Empanelled,IN PPN,Mumbai
388,National Hospital & ICCU,Mulund (West),Mumbai,Mumbai,Maharashtra,"Vikas Paradise, 1st Floor, Bhakti Marg, Off LBS Ro",022,56430743,Empanelled,IN PPN,Mumbai
389,Navnirman Maternity & Surgical Hospital,Ghatkopar (W),Mumbai,Mumbai,Maharashtra,"302-303, Trimurti Arcade, LBS Road, Near Sarvodaya",022,25133810,Empanelled,NON PPN,MUMBAI
390,Nefrons Mission Nephro Care Pvt Ltd,Mulund W,Mumbai,Mumbai,Maharashtra,Dr Gors Appt 1st Floor Near Bank of Maharastra MG Road Mulund West,022,25685544,Empanelled,NON PPN,Mumbai
391,Netrajyoti Eye Care Centre,Borivli (W),Mumbai,Mumbai,Maharashtra,"Ground Floor, Kara Bunglow Chandavarkar Road, Opp.Raj Mahal Hotel, Borivli (W)",022,28020751,Empanelled,NON PPN,Mumbai
392,Neway Hospital,Sanpada,Mumbai,Mumbai,Maharashtra,"Plot No.34, sector -6, Sanpada",022,27758101,Empanelled,IN PPN,Mumbai
393,Nirmal Nursing Home,Dadar,Mumbai,Mumbai,Maharashtra,"Gokul, First Floor, 93 Ranade Road, Shivaji Park,dadar",022,24453068,Empanelled,IN PPN,Mumbai
394,Noble Hospital,Ghatkopar(W),Mumbai,Mumbai,Maharashtra,"203-A, 205, Trimurti Arcade, Near Sarvodaya Hospital, LBS Road",022,25126622,Empanelled,NON PPN,MUMBAI
395,Nulife Hospital Pvt Ltd,Bhandup (W),Mumbai,Mumbai,Maharashtra,"B 101 to 110, Aniraj Tower CHS ltd, Opp metro Mall, LBS Road, Bhandup (W)",022,25943339,Empanelled,NON PPN,Mumbai
396,Nupur Nursing Home,Kandivli (E),Mumbai,Mumbai,Maharashtra,"Mangalam Apts, Thakur Complex, Kandivli (E)",022,28540506,Empanelled,NON PPN,Mumbai
397,Om Navjeevan Hospital Pvt Ltd,Navi Mumbai,Mumbai,Mumbai,Maharashtra,"Plot no 2, Sec 21, Kharghar,Tata Hospital Road",022,27740460,Empanelled,NON PPN,Mumbai
398,Omkar Hospital,Kandivli (W),Mumbai,Mumbai,Maharashtra,"1st Floor, Bhoomi Garden, Mahavir Nagar, Kandivli",022,28071992,Empanelled,NON PPN,MUMBAI
399,Omkar Hospital,Bhandup (W),Mumbai,Mumbai,Maharashtra,"101/A, Neha Apartment, LBS Marg, Bhandup (W)",022,25959440,Empanelled,NON PPN,MUMBAI
400,Orbit Eye Hospital,Jogeshwari(w),Mumbai,Mumbai,Maharashtra,"1 st Floor Aftab Classic , opp city hospital , S.v Road",022,26773600,Empanelled,IN PPN,Mumbai
401,Ortho - Max Hospital,Mulund (E),Mumbai,Mumbai,Maharashtra,"101/C, Ambika Plaza, 90 Ft Road, Mulund (E)",022,25637979,Empanelled,NON PPN,MUMBAI
402,Padmashree Nursing Home,Mulund (W),Mumbai,Mumbai,Maharashtra,"A-11 Apurva Appartment, Govardhan Nagar, LBS Marg, Mulund (W)",022,25674530,Empanelled,NON PPN,Mumbai
403,Paramount General Hospital & Iccu,Andheri (E),Mumbai,Mumbai,Maharashtra,1st & 2nd FLOOR  Laxmi Commerical Premises Saki Naka Junction,022,28590606,Empanelled,IN PPN,Mumbai
404,Paras Nursing Home,Kandivali (W),Mumbai,Mumbai,Maharashtra,"Sai Krupa, M. G. Cross Rd No - 3, Opp. Modi Nagar,",022,28061520,Empanelled,NON PPN,MUMBAI
405,Parekh Eye & Child Clinic,Ghatkopar (E),Mumbai,Mumbai,Maharashtra,301 Madhav Apts Jawahar Road Opp Rly Station Ghatkopar (E),022,25147788,Empanelled,NON PPN,Mumbai
406,Parvish Nursing Home Pvt Ltd,Andheri (E),Mumbai,Mumbai,Maharashtra,"12, Shriaz, Telli Galli, Andheri (E)",022,26824868,Empanelled,NON PPN,MUMBAI
407,Patel Nursing Home,Andheri (E),Mumbai,Mumbai,Maharashtra,"B, Vishal Apartment, Sir M V Road, Andheri (E)",022,26835108,Empanelled,NON PPN,Mumbai
408,Phoenix Hospitals Pvt Ltd,Borival W,Mumbai,Mumbai,Maharashtra,CTS 374 B21 Padma nagar Chikuwadi Borivali W,022,28985671,Empanelled,NON PPN,Mumbai
409,Pikale Hospital,Mahim(W),Mumbai,Mumbai,Maharashtra,"Uma Mahesh bldg,M M Chotani Marg,2nd cross road",022,24467138,Empanelled,NON PPN,Mumbai
410,Platinum Hospital,Mulund (W),Mumbai,Mumbai,Maharashtra,"colours space shopping mall, G-103,D D upadhyay marg , mulund Check naka ,Mulund",022,25600190,Empanelled,IN PPN,Mumbai
411,Pooja Nursing Home Pvt Ltd,Mulund (W),Mumbai,Mumbai,Maharashtra,"Shreeram Apartment, 1st Floor, J N Road, Near Apna Bazar Mulund (W)",022,25603280,Empanelled,IN PPN,Mumbai
412,Prince Aly Khan Hospital,Mazagaon,Mumbai,Mumbai,Maharashtra,"Agha hall, Nesbid road, Mazgoan,, Mumbai",022,23777800,Empanelled,NON PPN,Mumbai
413,Punamiya Hospital,Dadar (W),Mumbai,Mumbai,Maharashtra,"1st Floor, Inder Tower, Gokhale Road (S), Dadar (W)",022,24318431,Empanelled,NON PPN,Mumbai
414,Purohit Hospital (Dir Mailer),Borivali (W),Mumbai,Mumbai,Maharashtra,Gr Flr Kahan Bhavan L T Road Behind Diamond Cinema,022,28954000,Empanelled,NON PPN,Mumbai
415,R G Stone Urological Research Institute,"Khar West,Opp.Mahavir Hospital",Mumbai,Mumbai,Maharashtra,"21-A,Sita Bhuvan,14th A-Road,Ahimsa Marg,Khar West",022,61463500,Empanelled,IN PPN,Mumbai
416,R G Stone Urology & Laparoscopy ( Andheri (w)c,Andheri (W),Mumbai,Mumbai,Maharashtra,"C Wing Dhananjay APT , behind Balaji Studio Off Veera Desai road ,Andheri (W)400059",022,40743333,Empanelled,IN PPN,Mumbai
417,R G Stone Urology Centre (hira Mongi Navneet Hospital Mulund),Mulund(W),Mumbai,Mumbai,Maharashtra,Valji Ladha Road,022,25675012,Empanelled,IN PPN,Mumbai
418,R J Ganatra Nursing Home,Mulund (W),Mumbai,Mumbai,Maharashtra,"Omkarlal Building, S V P Road Mulund (W)",022,25611326,Empanelled,NON PPN,Mumbai
419,Ravi Surgical Nursing Home,Bhayander(W),Mumbai,Mumbai,Maharashtra,"`B' Kedarnath 60 Ft Road, Devchand Nagar, Opp : 52",022,28191877,Empanelled,IN PPN,Mumbai
420,Riddhi eye clinic,Borivali (east),Mumbai,Mumbai,Maharashtra,"104/B.S.B. Apartment rai dongri, carter road: No.",022,28625447,Empanelled,IN PPN,Mumbai
421,Riddhi Siddhi Hospital Pvt Ltd,mira bhaindar,Mumbai,Mumbai,Maharashtra,"1st Floor ,Sheetal Plaza opp. Shivar Garden , Mira Bhayandar Road Bhayandar East Mumbai Maharashtra 401107",022,28104001,Empanelled,IN PPN,Mumbai
422,Riddhi Vinayak Critical Care And Cardiac Centre,Malad (W),Mumbai,Mumbai,Maharashtra,"Pushpachandra Apt., 559/1, Riddhi Vinayak Temple Lane, Nr N. L. High School, S. V. Road, Malad (W)",022,28663984,Empanelled,IN PPN,Mumbai
423,Rohit Nursing Home,S.V Road,Mumbai,Mumbai,Maharashtra,"Meher Co-operative Hsg Soc.,4 Shanti Nagar",022,28489049,Empanelled,NON PPN,Mumbai
424,S L Raheja Hospital,Mahim,Mumbai,Mumbai,Maharashtra,"Raheja Rugnalaya Marg, Mahim",022,24467569,Empanelled,IN PPN,Mumbai
425,Saarthi Health Care,Mulund W,Mumbai,Mumbai,Maharashtra,Jamuna Sadan 1st Floor M G Road Near Panch Rasta Mulund,022,65257885,Empanelled,IN PPN,Mumbai
426,Saarthi Hospital,Bhandup W,Mumbai,Mumbai,Maharashtra,Vakratunda Palace Above SVC Bank NR Municipal Scool Tank Road,022,25944130,Empanelled,IN PPN,Mumbai
427,Sahu Eye Hospital (a Branch Of Kamal Netralaya Pvt Ltd),Malad (W),Mumbai,Mumbai,Maharashtra,A/1 Wimla Apt Opp Malad Gymkhana off Main Road,022,28823623,Empanelled,NON PPN,Mumbai
428,Sai Aashirwad Hospital,Bhayander,Mumbai,Mumbai,Maharashtra,"101/104,A wing,Ratnadeep building,navghar road,Bhayander (E)",022,28198594,Empanelled,IN PPN,Mumbai
429,Sai Hospital,Dharavi,Mumbai,Mumbai,Maharashtra,"G 1st, 2nd, & 3rd Floor At Mashia Islampura CHS.Ltd. Behind Sion Hospaital Near Dharavi police Station, 90 Feet Road",022,24022739,Empanelled,IN PPN,Mumbai
