,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
32,Sunder Netralaya,Near Delhi Gate,Ahmednagar,Ahmednagar,Maharashtra,Chaupati Karanja Near Delhi Gate,0241,2345499,Empanelled,PPN Not Applicable,Other
33,Swasthya Hospital Medical Research Center,Annabhau Sathe Chowk,Ahmednagar,Ahmednagar,Maharashtra,"Laltaki,  Annabhau Sathe Chowk, Ahmednagar",0241,2344301,Empanelled,PPN Not Applicable,Other
34,Tarde Hospital,Savedi Road,Ahmednagar,Ahmednagar,Maharashtra,"100/4 Behind Hotel Premdan, Near Shahar Bank, Savedi Road",0241,2419292,Empanelled,PPN Not Applicable,Other
35,Thorat Superspeciality Eye Care,Savedi Road,Ahmednagar,Ahmednagar,Maharashtra,Hira Panna Apt Savedi Road Dist Ahmednagar,0241,2320032,Empanelled,PPN Not Applicable,Other
36,Wagh Nursing Home,Burudgaon Road,Ahmednagar,Ahmednagar,Maharashtra,Burudgaon Road Near Hotel Vaibhav,0241,2452242,Empanelled,PPN Not Applicable,Other
37,Zarekar Hospital,Sakkar Chaowk,Ahmednagar,Ahmednagar,Maharashtra,Sakkar Chowk New Tilak Road,0241,2472020,Empanelled,PPN Not Applicable,Other
38,Zende Hospital,Tarakpur Bus Stand,Ahmednagar,Ahmednagar,Maharashtra,DSP Chowk  Tarakpur bus Stand,0241,2430326,Empanelled,PPN Not Applicable,Other
39,Bule Hospital,K G Road,Akole,Ahmednagar,Maharashtra,K G Road Opp Agasthi College Akole,02424,222823,Empanelled,PPN Not Applicable,Other
40,Lokmanya Hospital,Kashti,Kashti,Ahmednagar,Maharashtra,Nagar Baramati Road Kashti,02487,231303,Empanelled,PPN Not Applicable,Other
41,Abhijit Clinic And Dr Achari Hospital,Vivekanandnagar,Kopargaon,Ahmednagar,Maharashtra,Near S G school Vivekanandnagar,02423,227107,Empanelled,PPN Not Applicable,Other
42,Dr Boob Hospital,Sambhaji Chowk,Kopargaon,Ahmednagar,Maharashtra,Dharangaon Road Near Sambhaji chowk,02423,222280,Empanelled,PPN Not Applicable,Other
43,Kothari Hospital,Sambhaji chowk,Kopargaon,Ahmednagar,Maharashtra,Sambhaji chowk More complex,02423,224464,Empanelled,PPN Not Applicable,Other
44,Phadke Hospital,Dharanagaon,Kopargaon,Ahmednagar,Maharashtra,Dharanagaon road Near Gautam bank,02423,222428,Empanelled,PPN Not Applicable,Other
45,Sai Poly Clinic & Endoscopy Centre,Bumb Plaza,Kopargaon,Ahmednagar,Maharashtra,Bumb Plaza Near Vishnu Theatre Kopargaon,02423,223007,Empanelled,PPN Not Applicable,Other
46,Wagh Hospital,Nehru Market,Kopargaon,Ahmednagar,Maharashtra,Bank road Nehru Market,02423,223287,Empanelled,PPN Not Applicable,Other
47,Mauli Multispeciality Hospital,Newasa Phata,Newasa,Ahmednagar,Maharashtra,Plot No 2/3  Maktapur Road Nawasa Phata,02427,244039,Empanelled,PPN Not Applicable,Other
48,Onkar Hospital & Multispeciality,Bhalwani,Parner,Ahmednagar,Maharashtra,Bhalwani Tal Parner Near Bhalwani Bazar Peth,02483,271275,Empanelled,PPN Not Applicable,Other
49,Dr Maid Hospital & Maternity Home,Lokruchi Nagar,Rahata,Ahmednagar,Maharashtra,Lokruchi Nagar Nagar Manmad Road Rahata,02423,243114,Empanelled,PPN Not Applicable,Other
50,Chaitanya Hospital,Tajane Mala,Sangamner,Ahmednagar,Maharashtra,New Nagar Road In Frount of Dr Nagare Hospital Tajane Mala Sangamner,02425,224761,Empanelled,PPN Not Applicable,Other
51,Dr Satpute Hospital,Indiranagar,Sangamner,Ahmednagar,Maharashtra,"Behind ADCC Bank, Behind Sahyadri Vidyalaya, Indiranagar",02425,226579,Empanelled,PPN Not Applicable,Other
52,Kute Hospital & Laparoscopy Centre,Sangamner Navin Nagar Road,Sangamner,Ahmednagar,Maharashtra,40 FT D P Road Tajane Mana Navin Nagar Road,02425,226688,Empanelled,PPN Not Applicable,Other
53,Pophale Hospital Pvt. Ltd.,Near Nagar Road,Sangamner,Ahmednagar,Maharashtra,"Vidya Nagar, New Nagar Road, Sangamner",02425,226247,Empanelled,PPN Not Applicable,Other
54,Rasal Hospital,New Nagar Road,sangamner,Ahmednagar,Maharashtra,Sundari Complex 1st Floor Opp Sanket C T Scan Off New Nagar Road,02425,228477,Empanelled,PPN Not Applicable,Other
55,Sai Suman Hrudayalaya & Critical Care,New Nagar Road,Sangamner,Ahmednagar,Maharashtra,New Nagar Road Tajane Mala,02425,222101,Empanelled,PPN Not Applicable,Other
56,Tambe Hospital,New Akole Road,Sangamner,Ahmednagar,Maharashtra,"New Akole Road, Sangamner",02425,227295,Empanelled,PPN Not Applicable,Other
57,Vamanrao Itape Homoepathic Medical College & Hospital,Nagar Road,Sangamner,Ahmednagar,Maharashtra,"New Nagar Road,Tajame mala",02425,225014,Empanelled,PPN Not Applicable,Other
58,Sai Multispeciality Hospital,"Newasa road,",Shrirampur,Ahmednagar,Maharashtra,"New Highway bridge, Newasa road, Shirasgaon tal. Shrirampur",02422,223760,Empanelled,PPN Not Applicable,Other
59,Shree Hospital,Vrudheshvar Chowk,Tisgaon,Ahmednagar,Maharashtra,Vrudheshvar Chowk Miri Road Tisgaon Taluka Pathardi,02428,241199,Empanelled,PPN Not Applicable,Other
60,Akola Accident Clinic,Laxmi Nagar,Akola,Akola,Maharashtra,"Laxmi Nagar, Opp. Govt Milk Scheme, Murtizapur Roa",0724,2400733,Empanelled,PPN Not Applicable,Other
61,Akola Eye Hospital,Ramdaspeth,Akola,Akola,Maharashtra,"Ramdaspeth, Akola",0724,2437816,Empanelled,PPN Not Applicable,Other
62,Harish Hospital,Kedia Plot,Akola,Akola,Maharashtra,"Kedia Plot, Akola",0724,2420820,Empanelled,PPN Not Applicable,Other
